Temperature k,pressure pa,density g/m3,m
275.2592773,661.9395752,1.50E-02,0
223.4645538,607.2210693,1.42E-02,1000
218.3900146,555.9481812,1.33E-02,2000
214.7992249,508.0406189,1.24E-02,3000
213.0624084,463.8360291,1.14E-02,4000
211.6433105,423.1800842,1.05E-02,5000
210.8486328,385.9281311,9.58E-03,6000
209.9831543,351.8544617,8.77E-03,7000
208.5030212,320.6427307,8.05E-03,8000
206.72966,291.9878845,7.40E-03,9000
204.7465515,265.6810303,6.80E-03,10000
202.5338745,241.5228882,6.25E-03,11000
200.246109,219.3419647,5.74E-03,12000
197.9364014,198.9917145,5.27E-03,13000
195.6340637,180.3381195,4.83E-03,14000
193.3787994,163.2338715,4.42E-03,15000
191.1615448,147.5903778,4.04E-03,16000
188.976059,133.3022308,3.69E-03,17000
186.8212585,120.2702637,3.37E-03,18000
184.6977386,108.4013138,3.07E-03,19000
182.6166687,97.58022308,2.80E-03,20000
180.5849609,87.72953796,2.54E-03,21000
178.5836029,78.79534912,2.31E-03,22000
176.6066437,70.70571136,2.10E-03,23000
174.6386261,63.34178543,1.90E-03,24000
172.6875,56.68967438,1.72E-03,25000
170.7519989,50.69318771,1.56E-03,26000
168.8950958,45.24847412,1.40E-03,27000
167.0694122,40.35467148,1.27E-03,28000
165.2836151,35.95159912,1.14E-03,29000
163.5549469,31.97827911,1.02E-03,30000
161.8457489,28.42675591,9.21E-04,31000
160.181488,25.22371483,8.25E-04,32000
158.5496979,22.36500549,7.39E-04,33000
156.9776154,19.80326653,6.61E-04,34000
155.4620819,17.51529503,5.91E-04,35000
153.9964905,15.47632504,5.27E-04,36000
152.5685425,13.6562376,4.69E-04,37000
151.1616669,12.04107189,4.18E-04,38000
149.8153381,10.60197639,3.71E-04,39000
148.4978027,9.328609467,3.29E-04,40000
147.3726044,8.198578835,2.92E-04,41000
146.3546295,7.200732708,2.58E-04,42000
145.371582,6.318580151,2.28E-04,43000
144.4165192,5.540457726,2.01E-04,44000
143.5294189,4.854627609,1.77E-04,45000
142.7286682,4.249765396,1.56E-04,46000
141.9824524,3.718810081,1.37E-04,47000
141.384079,3.250742435,1.21E-04,48000
140.7856903,2.841587782,1.06E-04,49000
140.6456757,2.4816854,9.26E-05,50000
140.5170135,2.167318344,8.10E-05,51000
140.7006073,1.89305222,7.08E-05,52000
141.2184753,1.653754234,6.17E-05,53000
141.7363281,1.444705606,5.37E-05,54000
142.682724,1.264348626,4.68E-05,55000
143.8070374,1.10733211,4.07E-05,56000
144.931366,0.969815135,3.53E-05,57000
146.2557983,0.851727962,3.07E-05,58000
147.7482452,0.749758244,2.68E-05,59000
149.2406769,0.65999639,2.33E-05,60000
150.7331238,0.580980957,2.02E-05,61000
151.5148315,0.513066947,1.78E-05,62000
152.1640015,0.453362703,1.56E-05,63000
152.8131714,0.400606066,1.38E-05,64000
153.462326,0.353988588,1.21E-05,65000
153.2563477,0.312729836,1.07E-05,66000
152.2631226,0.276226252,9.49E-06,67000
151.2698975,0.243983582,8.43E-06,68000
150.2766571,0.215504467,7.50E-06,69000
149.283432,0.190349594,6.67E-06,70000
148.092926,0.167647436,5.92E-06,71000
146.7884827,0.147407487,5.24E-06,72000
145.4840393,0.12961109,4.65E-06,73000
144.1795959,0.113963246,4.12E-06,74000
142.8751526,0.100204535,3.66E-06,75000
141.5251617,0.087881126,3.25E-06,76000
140.1125641,0.076801881,2.86E-06,77000
138.6999512,0.067119412,2.52E-06,78000
137.2873535,0.058657609,2.23E-06,79000
135.8747406,0.051262602,1.97E-06,80000
134.6873322,0.044755783,1.74E-06,81000
134.2688293,0.038943712,1.52E-06,82000
133.8503418,0.033886403,1.32E-06,83000
133.431839,0.029485848,1.15E-06,84000
133.0133514,0.025656758,1.01E-06,85000
132.710968,0.022323834,8.80E-07,86000
132.8900604,0.019419946,7.65E-07,87000
133.0691528,0.016893795,6.64E-07,88000
133.2482605,0.01469625,5.77E-07,89000
133.4273529,0.012784559,5.01E-07,90000
133.5514069,0.011123221,4.36E-07,91000
133.4087982,0.009684854,3.79E-07,92000
133.2661896,0.008432486,3.31E-07,93000
133.1235962,0.007342065,2.88E-07,94000
132.9809875,0.006392647,2.51E-07,95000
132.8288727,0.005565814,2.19E-07,96000
132.6042023,0.004844684,1.90E-07,97000
132.3795471,0.004216987,1.66E-07,98000
132.1548767,0.003670617,1.45E-07,99000
131.9302216,0.003195037,1.26E-07,100000
131.6376495,0.002780491,1.10E-07,101000
130.4606781,0.00241312,9.60E-08,102000
129.2836914,0.002094288,8.40E-08,103000
128.10672,0.001817582,7.35E-08,104000
126.9297485,0.001577435,6.44E-08,105000
125.6699219,0.001367678,5.65E-08,106000
123.8630981,0.001178173,4.92E-08,107000
122.0562744,0.001014926,4.29E-08,108000
120.2494507,0.000874298,3.75E-08,109000
118.442627,0.000753156,3.28E-08,110000
117.1304016,0.000646967,2.86E-08,111000
116.4521484,0.00055374,2.45E-08,112000
115.7739029,0.000473946,2.11E-08,113000
115.0956497,0.000405651,1.82E-08,114000
114.4174042,0.000347197,1.57E-08,115000
116.6298676,0.000298913,1.33E-08,116000
119.0283051,0.000257441,1.13E-08,117000
121.4267426,0.000221723,9.49E-09,118000
123.8251801,0.000190961,7.97E-09,119000
126.6153946,0.000165269,6.72E-09,120000
130.5626373,0.000145105,5.77E-09,121000
134.5098877,0.000127401,4.94E-09,122000
138.4571228,0.000111857,4.21E-09,123000
142.4043732,9.82E-05,3.57E-09,124000
146.3516083,8.62E-05,3.00E-09,125000
149.7644653,7.70E-05,2.63E-09,126000
153.0997314,6.89E-05,2.31E-09,127000
156.4350128,6.17E-05,2.03E-09,128000
159.7702789,5.52E-05,1.77E-09,129000
163.1055603,4.95E-05,1.55E-09,130000
166.4408264,4.43E-05,1.34E-09,131000
